"veh_id","updated_time","long","lati","trip_id","sch_dev","route"
"1_2662","2018-03-06 06:24:44","-122.1935120","47.7639427","1_34939002",0,"372"
"1_2662","2018-03-06 06:27:45","-122.2007446","47.7605705","1_34939002",86,"372"
"1_2662","2018-03-06 06:30:44","-122.2113190","47.7579002","1_34939002",117,"372"
"1_2662","2018-03-06 06:33:45","-122.2305908","47.7546501","1_34939002",25,"372"
"1_2662","2018-03-06 06:36:45","-122.2494431","47.7583504","1_34939002",29,"372"
"1_2662","2018-03-06 06:39:44","-122.2632294","47.7583084","1_34939002",81,"372"
"1_2662","2018-03-06 06:42:45","-122.2794342","47.7523575","1_34939002",80,"372"
"1_2662","2018-03-06 06:45:45","-122.2916565","47.7370987","1_34939002",-13,"372"
"1_2662","2018-03-06 06:48:45","-122.2932892","47.7227020","1_34939002",-75,"372"
"1_2662","2018-03-06 06:51:46","-122.2990417","47.7128448","1_34939002",-43,"372"
"1_2662","2018-03-06 06:54:45","-122.3041382","47.6993065","1_34939002",-65,"372"
"1_2662","2018-03-06 06:57:45","-122.3008347","47.6862068","1_34939002",-86,"372"
"1_2662","2018-03-06 07:00:46","-122.3006439","47.6762085","1_34939002",-61,"372"
"1_2662","2018-03-06 07:03:45","-122.3006134","47.6670647","1_34939002",-25,"372"
"1_2662","2018-03-06 07:06:44","-122.3046112","47.6573372","1_34939002",-25,"372"
"1_2662","2018-03-06 07:09:45","-122.3077621","47.6520195","1_34939002",-52,"372"
"1_2662","2018-03-06 07:12:45","-122.3116760","47.6553154","1_34939002",-106,"372"
"1_2662","2018-03-06 07:36:45","-122.3120804","47.6557007","1_34939007",69,"372"
"1_2662","2018-03-06 07:39:45","-122.3075943","47.6520195","1_34939007",67,"372"
"1_2662","2018-03-06 07:42:45","-122.3045425","47.6573219","1_34939007",100,"372"
"1_2662","2018-03-06 07:48:44","-122.3006516","47.6751976","1_34939007",123,"372"
"1_2662","2018-03-06 07:51:45","-122.3007584","47.6831436","1_34939007",172,"372"
"1_2662","2018-03-06 07:54:44","-122.3053589","47.6957359","1_34939007",172,"372"
"1_2662","2018-03-06 07:57:45","-122.3013000","47.7085953","1_34939007",186,"372"
"1_2662","2018-03-06 08:00:45","-122.2947388","47.7201157","1_34939007",217,"372"
"1_2662","2018-03-06 08:03:45","-122.2924423","47.7344666","1_34939007",164,"372"
"1_2662","2018-03-06 08:06:45","-122.2807236","47.7518005","1_34939007",103,"372"
"1_2662","2018-03-06 08:09:46","-122.2601013","47.7584343","1_34939007",39,"372"
"1_2662","2018-03-06 08:12:46","-122.2340622","47.7558212","1_34939007",-34,"372"
