"veh_id","updated_time","long","lati","trip_id","sch_dev","route"
"1_6866","2018-03-01 06:27:45","-122.1996689","47.7591553","1_34939002",40,"372"
"1_6866","2018-03-01 06:51:45","-122.3016129","47.7045059","1_34939002",-165,"372"
"1_6866","2018-03-01 07:00:45","-122.3006210","47.6682892","1_34939002",-187,"372"
"1_6866","2018-03-01 07:09:45","-122.3114777","47.6552582","1_34939002",-285,"372"
"1_6866","2018-03-01 07:24:46","-122.3124161","47.6562080","1_34939002",549,"372"
"1_6866","2018-03-01 07:27:45","-122.3124161","47.6562080","1_34939002",729,"372"
"1_6866","2018-03-01 07:32:22","-122.3124161","47.6562080","1_34939002",999,"372"
"1_6866","2018-03-01 07:45:45","-122.3006439","47.6736221","1_34939007",-27,"372"
"1_6866","2018-03-01 07:57:45","-122.2945633","47.7204056","1_34939007",28,"372"
"1_6866","2018-03-01 08:00:46","-122.2923126","47.7301636","1_34939007",56,"372"
"1_6866","2018-03-01 08:09:46","-122.2430191","47.7573242","1_34939007",-144,"372"
"1_6866","2018-03-01 08:14:20","-122.2124710","47.7543335","1_34939007",-194,"372"
"1_6866","2018-03-01 08:24:46","-122.2005005","47.7592354","1_34939007",270,"372"
"1_6866","2018-03-01 08:45:45","-122.1928406","47.7640114","1_34939003",108,"372"
"1_6866","2018-03-01 08:57:45","-122.2494431","47.7583504","1_34939003",102,"372"
"1_6866","2018-03-01 09:12:45","-122.2950134","47.7196541","1_34939003",235,"372"
"1_6866","2018-03-01 09:21:45","-122.3007813","47.6839981","1_34939003",184,"372"
"1_6866","2018-03-01 09:24:46","-122.3006439","47.6737366","1_34939003",145,"372"
"1_6866","2018-03-01 09:27:45","-122.3006058","47.6669312","1_34939003",175,"372"
"1_6866","2018-03-01 09:36:45","-122.3106003","47.6549873","1_34939003",8,"372"
"1_6866","2018-03-01 09:51:46","-122.3120804","47.6555748","1_34939008",66,"372"
"1_6866","2018-03-01 09:57:46","-122.3045425","47.6573219","1_34939008",101,"372"
"1_6866","2018-03-01 10:15:45","-122.2923889","47.7324753","1_34939008",78,"372"
"1_6866","2018-03-01 10:30:45","-122.2076187","47.7595634","1_34939008",85,"372"
"1_6866","2018-03-01 11:03:45","-122.1930084","47.7620049","1_34939005",31,"372"
"1_6866","2018-03-01 11:06:46","-122.2010956","47.7605019","1_34939005",-23,"372"
"1_6866","2018-03-01 11:09:46","-122.2091675","47.7589722","1_34939005",28,"372"
"1_6866","2018-03-01 11:12:46","-122.2229462","47.7527847","1_34939005",16,"372"
"1_6866","2018-03-01 11:15:45","-122.2426682","47.7572670","1_34939005",34,"372"
"1_6866","2018-03-01 11:18:46","-122.2632141","47.7583084","1_34939005",14,"372"
"1_6866","2018-03-01 11:21:46","-122.2799835","47.7521324","1_34939005",25,"372"
"1_6866","2018-03-01 11:24:45","-122.2924118","47.7355995","1_34939005",14,"372"
"1_6866","2018-03-01 11:27:45","-122.2922668","47.7288284","1_34939005",92,"372"
"1_6866","2018-03-01 11:30:46","-122.2948227","47.7199783","1_34939005",125,"372"
"1_6866","2018-03-01 11:33:46","-122.3013306","47.7084999","1_34939005",131,"372"
"1_6866","2018-03-01 11:36:46","-122.3020706","47.6912727","1_34939005",48,"372"
"1_6866","2018-03-01 11:39:46","-122.3006439","47.6761284","1_34939005",-28,"372"
