"veh_id","updated_time","long","lati","trip_id","sch_dev","route"
"1_2660","2018-03-06 08:19:29","-122.1932678","47.7627907","1_34939079",297,"372"
"1_2660","2018-03-06 08:22:28","-122.1980667","47.7613945","1_34939079",354,"372"
"1_2660","2018-03-06 08:25:28","-122.2019501","47.7592850","1_34939079",423,"372"
"1_2660","2018-03-06 08:28:28","-122.2119446","47.7511520","1_34939079",423,"372"
"1_2660","2018-03-06 08:31:28","-122.2326202","47.7553902","1_34939079",409,"372"
"1_2660","2018-03-06 08:37:28","-122.2669296","47.7581406","1_34939079",450,"372"
"1_2660","2018-03-06 08:40:28","-122.2848129","47.7482910","1_34939079",398,"372"
"1_2660","2018-03-06 08:46:29","-122.2922440","47.7280807","1_34939079",421,"372"
"1_2660","2018-03-06 08:49:28","-122.2949295","47.7197876","1_34939079",460,"372"
"1_2660","2018-03-06 08:55:29","-122.3026657","47.6927834","1_34939079",367,"372"
"1_2660","2018-03-06 08:58:29","-122.3007355","47.6820946","1_34939079",371,"372"
"1_2660","2018-03-06 09:01:28","-122.3006287","47.6700897","1_34939079",287,"372"
"1_2660","2018-03-06 09:04:29","-122.3009033","47.6608467","1_34939079",263,"372"
"1_2660","2018-03-06 09:10:29","-122.3104248","47.6532822","1_34939079",146,"372"
"1_2660","2018-03-06 09:13:29","-122.3120804","47.6555061","1_34939079",164,"372"
"1_2660","2018-03-06 09:37:28","-122.3133469","47.6559868","1_34939085",147,"372"
"1_2660","2018-03-06 09:40:28","-122.3104019","47.6546326","1_34939085",232,"372"
"1_2660","2018-03-06 09:43:28","-122.3052063","47.6533890","1_34939085",220,"372"
"1_2660","2018-03-06 09:46:28","-122.3020172","47.6600227","1_34939085",261,"372"
"1_2660","2018-03-06 09:49:29","-122.3006210","47.6682854","1_34939085",279,"372"
"1_2660","2018-03-06 09:52:29","-122.3006439","47.6759987","1_34939085",332,"372"
"1_2660","2018-03-06 09:55:29","-122.3008423","47.6864815","1_34939085",350,"372"
"1_2660","2018-03-06 09:58:28","-122.3018112","47.7023315","1_34939085",337,"372"
"1_2660","2018-03-06 10:09:04","-122.2923737","47.7357712","1_34939085",524,"372"
"1_2660","2018-03-06 10:13:29","-122.2726746","47.7555122","1_34939085",536,"372"
"1_2660","2018-03-06 10:16:28","-122.2471542","47.7579994","1_34939085",537,"372"
"1_2660","2018-03-06 10:19:29","-122.2247086","47.7528839","1_34939085",538,"372"
"1_2660","2018-03-06 10:25:28","-122.2076187","47.7591438","1_34939085",663,"372"
"1_2660","2018-03-06 10:28:29","-122.2014694","47.7601891","1_34939085",761,"372"
"1_2660","2018-03-06 10:31:28","-122.1930847","47.7633400","1_34939085",793,"372"
"1_2660","2018-03-06 10:52:28","-122.1928253","47.7620163","1_34939080",257,"372"
"1_2660","2018-03-06 10:58:28","-122.2059479","47.7593384","1_34939080",275,"372"
"1_2660","2018-03-06 11:04:28","-122.2414932","47.7570686","1_34939080",267,"372"
"1_2660","2018-03-06 11:07:28","-122.2494431","47.7583504","1_34939080",372,"372"
"1_2660","2018-03-06 11:10:28","-122.2690735","47.7578201","1_34939080",370,"372"
"1_2660","2018-03-06 11:13:28","-122.2808304","47.7517548","1_34939080",420,"372"
"1_2660","2018-03-06 11:22:28","-122.2974472","47.7155380","1_34939080",460,"372"
"1_2660","2018-03-06 11:25:28","-122.3016129","47.7039909","1_34939080",469,"372"
"1_2660","2018-03-06 11:28:28","-122.3024750","47.6923027","1_34939080",458,"372"
"1_2660","2018-03-06 11:31:28","-122.3007507","47.6828194","1_34939080",507,"372"
"1_2660","2018-03-06 11:40:28","-122.3013458","47.6604309","1_34939080",594,"372"
