"veh_id","updated_time","long","lati","trip_id","sch_dev","route"
"1_2660","2018-03-06 11:43:28","-122.3045273","47.6554298","1_34939080",651,"372"
"1_2660","2018-03-06 11:46:28","-122.3100433","47.6527367","1_34939080",510,"372"
"1_2660","2018-03-06 11:49:28","-122.3123245","47.6562080","1_34939080",422,"372"
"1_2660","2018-03-06 12:13:28","-122.3111115","47.6551018","1_34939086",424,"372"
"1_2660","2018-03-06 12:16:28","-122.3067627","47.6521301","1_34939086",405,"372"
"1_2660","2018-03-06 12:19:28","-122.3046799","47.6564102","1_34939086",455,"372"
"1_2660","2018-03-06 12:25:28","-122.3006134","47.6673698","1_34939086",574,"372"
"1_2660","2018-03-06 12:28:29","-122.3006439","47.6741638","1_34939086",614,"372"
"1_2660","2018-03-06 12:43:29","-122.2928925","47.7235870","1_34939086",747,"372"
"1_2660","2018-03-06 12:46:28","-122.2924271","47.7335281","1_34939086",757,"372"
"1_2660","2018-03-06 12:49:28","-122.2798767","47.7521782","1_34939086",616,"372"
"1_2660","2018-03-06 12:52:29","-122.2598267","47.7584457","1_34939086",630,"372"
"1_2660","2018-03-06 12:55:28","-122.2409210","47.7569733","1_34939086",669,"372"
"1_2660","2018-03-06 12:58:28","-122.2117538","47.7514458","1_34939086",576,"372"
"1_2660","2018-03-06 13:01:28","-122.2075500","47.7591324","1_34939086",614,"372"
"1_2660","2018-03-06 13:22:28","-122.2007446","47.7605705","1_34939081",133,"372"
"1_2660","2018-03-06 13:25:28","-122.2124786","47.7548828","1_34939081",115,"372"
"1_2660","2018-03-06 13:28:29","-122.2333908","47.7556572","1_34939081",35,"372"
"1_2660","2018-03-06 13:31:28","-122.2494431","47.7583504","1_34939081",84,"372"
"1_2660","2018-03-06 13:34:28","-122.2657623","47.7581978","1_34939081",139,"372"
"1_2660","2018-03-06 13:37:28","-122.2869186","47.7428856","1_34939081",44,"372"
"1_2660","2018-03-06 13:40:28","-122.2923126","47.7302208","1_34939081",33,"372"
"1_2660","2018-03-06 13:46:29","-122.3012543","47.7087288","1_34939081",77,"372"
"1_2660","2018-03-06 13:49:28","-122.3029022","47.6933556","1_34939081",45,"372"
"1_2660","2018-03-06 13:52:28","-122.3006439","47.6762085","1_34939081",-71,"372"
"1_2660","2018-03-06 13:55:28","-122.3006134","47.6672707","1_34939081",-105,"372"
"1_2660","2018-03-06 13:58:28","-122.3011169","47.6604996","1_34939081",-92,"372"
"1_2660","2018-03-06 14:04:28","-122.3104095","47.6543503","1_34939081",-309,"372"
"1_2660","2018-03-06 14:07:28","-122.3125229","47.6562119","1_34939081",-309,"372"
"1_2660","2018-03-06 14:34:28","-122.3132553","47.6559868","1_34939076",-34,"372"
"1_2660","2018-03-06 14:37:29","-122.3133469","47.6559868","1_34939076",147,"372"
"1_2660","2018-03-06 14:40:29","-122.3106308","47.6549911","1_34939076",231,"372"
"1_2660","2018-03-06 14:43:28","-122.3056717","47.6527061","1_34939076",184,"372"
"1_2660","2018-03-06 14:46:29","-122.3028336","47.6579933","1_34939076",220,"372"
"1_2660","2018-03-06 14:51:02","-122.3006058","47.6660004","1_34939076",304,"372"
"1_2660","2018-03-06 14:52:28","-122.3006134","47.6679802","1_34939076",352,"372"
"1_2660","2018-03-06 14:55:29","-122.3006439","47.6786728","1_34939076",313,"372"
"1_2660","2018-03-06 14:58:29","-122.3008423","47.6865463","1_34939076",336,"372"
"1_2660","2018-03-06 15:01:29","-122.3055267","47.6974220","1_34939076",335,"372"
"1_2660","2018-03-06 15:07:28","-122.2945633","47.7204056","1_34939076",319,"372"
"1_2660","2018-03-06 15:10:28","-122.2922440","47.7280121","1_34939076",356,"372"
"1_2660","2018-03-06 15:13:28","-122.2924500","47.7349510","1_34939076",381,"372"
"1_2660","2018-03-06 15:19:28","-122.2628632","47.7583237","1_34939076",317,"372"
"1_2660","2018-03-06 15:22:29","-122.2435608","47.7574158","1_34939076",332,"372"
"1_2660","2018-03-06 15:25:28","-122.2174377","47.7517776","1_34939076",248,"372"
"1_2660","2018-03-06 15:28:29","-122.2097168","47.7592659","1_34939076",242,"372"
"1_2660","2018-03-06 15:31:28","-122.2000732","47.7592125","1_34939076",314,"372"
"1_2660","2018-03-06 15:34:28","-122.1932602","47.7628937","1_34939076",304,"372"
"1_2660","2018-03-06 15:58:29","-122.1928101","47.7620163","1_34939084",75,"372"
"1_2660","2018-03-06 16:01:28","-122.2004242","47.7597160","1_34939084",-75,"372"
"1_2660","2018-03-06 16:07:29","-122.2285995","47.7539673","1_34939084",-91,"372"
"1_2660","2018-03-06 16:10:29","-122.2404022","47.7568855","1_34939084",-22,"372"
"1_2660","2018-03-06 16:19:28","-122.2916260","47.7371368","1_34939084",-99,"372"
"1_2660","2018-03-06 16:22:28","-122.2924118","47.7331505","1_34939084",28,"372"
"1_2660","2018-03-06 16:25:29","-122.2933044","47.7226677","1_34939084",27,"372"
"1_2660","2018-03-06 16:28:29","-122.2933044","47.7226677","1_34939084",207,"372"
"1_2660","2018-03-06 16:31:29","-122.2973785","47.7156563","1_34939084",282,"372"
"1_2660","2018-03-06 16:34:28","-122.3016281","47.7056656","1_34939084",311,"372"
"1_2660","2018-03-06 16:37:29","-122.3057175","47.6963310","1_34939084",351,"372"
"1_2660","2018-03-06 16:40:29","-122.3009796","47.6868324","1_34939084",385,"372"
"1_2660","2018-03-06 16:43:29","-122.3006516","47.6759682","1_34939084",329,"372"
"1_2660","2018-03-06 16:46:29","-122.3006134","47.6681290","1_34939084",305,"372"
"1_2660","2018-03-06 16:55:29","-122.3103943","47.6548271","1_34939084",-19,"372"
"1_2660","2018-03-06 17:19:29","-122.3133469","47.6559868","1_34939075",87,"372"
"1_2660","2018-03-06 17:25:29","-122.3061600","47.6523781","1_34939075",96,"372"
"1_2660","2018-03-06 17:31:29","-122.3009110","47.6628494","1_34939075",162,"372"
"1_2660","2018-03-06 17:40:29","-122.3020859","47.6913109","1_34939075",134,"372"
"1_2660","2018-03-06 17:43:29","-122.3027344","47.7009621","1_34939075",153,"372"
"1_2660","2018-03-06 17:49:29","-122.2938843","47.7215385","1_34939075",181,"372"
"1_2660","2018-03-06 17:52:29","-122.2922440","47.7280960","1_34939075",228,"372"
"1_2660","2018-03-06 17:55:28","-122.2883835","47.7410469","1_34939075",137,"372"
"1_2660","2018-03-06 18:01:29","-122.2648087","47.7582397","1_34939075",94,"372"
"1_2660","2018-03-06 18:04:29","-122.2493668","47.7583427","1_34939075",143,"372"
"1_2660","2018-03-06 18:10:29","-122.2105255","47.7585144","1_34939075",60,"372"
"1_2660","2018-03-06 18:16:29","-122.1951675","47.7627983","1_34939075",197,"372"
"1_2660","2018-03-06 18:43:29","-122.2119446","47.7511520","1_34939082",125,"372"
"1_2660","2018-03-06 18:55:29","-122.2864151","47.7444916","1_34939082",157,"372"
"1_2660","2018-03-06 19:00:22","-122.2954330","47.7189331","1_34939082",61,"372"
"1_2660","2018-03-06 19:04:29","-122.3057251","47.6963463","1_34939082",-8,"372"
"1_2660","2018-03-06 19:07:29","-122.3008347","47.6861687","1_34939082",15,"372"
"1_2660","2018-03-06 19:10:29","-122.3006439","47.6734657","1_34939082",-39,"372"
"1_2660","2018-03-06 19:13:28","-122.3009033","47.6617165","1_34939082",-95,"372"
"1_2660","2018-03-06 19:16:29","-122.3051147","47.6543579","1_34939082",-92,"372"
"1_2660","2018-03-06 19:19:28","-122.3108368","47.6550140","1_34939082",-272,"372"
"1_2660","2018-03-06 19:55:29","-122.3104248","47.6533470","1_34939077",70,"372"
"1_2660","2018-03-06 19:58:28","-122.3051300","47.6537132","1_34939077",87,"372"
"1_2660","2018-03-06 20:01:28","-122.3018570","47.6601372","1_34939077",124,"372"
"1_2660","2018-03-06 20:07:29","-122.3006287","47.6769524","1_34939077",148,"372"
"1_2660","2018-03-06 20:10:29","-122.3021469","47.6914749","1_34939077",100,"372"
"1_2660","2018-03-06 20:13:28","-122.3016205","47.7050209","1_34939077",100,"372"
"1_2660","2018-03-06 20:16:28","-122.2960129","47.7179565","1_34939077",104,"372"
"1_2660","2018-03-06 20:19:28","-122.2925110","47.7248154","1_34939077",187,"372"
"1_2660","2018-03-06 20:22:28","-122.2915268","47.7372665","1_34939077",178,"372"
"1_2660","2018-03-06 20:25:28","-122.2758865","47.7537842","1_34939077",141,"372"
"1_2660","2018-03-06 20:28:29","-122.2487869","47.7582741","1_34939077",128,"372"
"1_2660","2018-03-06 20:34:28","-122.2100983","47.7587090","1_34939077",102,"372"
"1_2660","2018-03-06 20:36:03","-122.2076187","47.7596283","1_34939077",158,"372"
"1_2660","2018-03-06 20:37:28","-122.2002563","47.7596512","1_34939077",172,"372"
"1_2660","2018-03-06 21:13:28","-122.2007446","47.7605705","1_34939083",13,"372"
"1_2660","2018-03-06 21:16:28","-122.2113190","47.7579002","1_34939083",63,"372"
"1_2660","2018-03-06 21:19:29","-122.2299805","47.7544289","1_34939083",48,"372"
"1_2660","2018-03-06 21:22:28","-122.2575684","47.7585411","1_34939083",32,"372"
"1_2660","2018-03-06 21:25:28","-122.2837448","47.7496758","1_34939083",-42,"372"
"1_2660","2018-03-06 21:28:28","-122.2923431","47.7358856","1_34939083",-56,"372"
"1_2660","2018-03-06 21:31:28","-122.2940140","47.7213287","1_34939083",-48,"372"
"1_2660","2018-03-06 21:34:29","-122.3005829","47.7102280","1_34939083",-2,"372"
"1_2660","2018-03-06 21:40:29","-122.3007431","47.6823616","1_34939083",20,"372"
"1_2660","2018-03-06 21:43:28","-122.3006058","47.6662712","1_34939083",-56,"372"
"1_2660","2018-03-06 21:46:29","-122.3033676","47.6576920","1_34939083",-26,"372"
"1_2660","2018-03-06 21:52:29","-122.3118057","47.6553268","1_34939083",-28,"372"
"1_2660","2018-03-06 22:19:28","-122.3120880","47.6553955","1_34939078",103,"372"
"1_2660","2018-03-06 22:22:28","-122.3061600","47.6523781","1_34939078",77,"372"
"1_2660","2018-03-06 22:25:28","-122.3035812","47.6576195","1_34939078",131,"372"
"1_2660","2018-03-06 22:34:28","-122.3028412","47.6932297","1_34939078",90,"372"
"1_2660","2018-03-06 22:40:29","-122.2947159","47.7201576","1_34939078",130,"372"
"1_2660","2018-03-06 22:43:28","-122.2924271","47.7336006","1_34939078",102,"372"
"1_2660","2018-03-06 22:46:28","-122.2773056","47.7532234","1_34939078",39,"372"
"1_2660","2018-03-06 22:49:28","-122.2496262","47.7583656","1_34939078",6,"372"
"1_2660","2018-03-06 22:55:28","-122.2076187","47.7595825","1_34939078",43,"372"
"1_2660","2018-03-06 22:58:28","-122.1945877","47.7632065","1_34939078",89,"372"
