tid,stoporder,stopid,onboard,offboard,arrtime,,,,,,,,
6,14,ne 65th st,1,0,11/4/2018 14:36,,,,,,,,
6,15,ne ravenna blvd,0,0,,,,,,,,,
6,16,ne 55th st,0,0,,,,,,,,,
6,17,ne 50 st,1,1,11/4/2018 14:39,,,,,,,,
7,1,40th ave ne ,10,0,11/4/2018 15:05,,,,,,,,
7,2,36th ave ne ,2,0,11/4/2018 15:06,,,,,,,,
7,3,union bay pl ne,1,0,11/4/2018 15:08,,,,,,,,
7,4,ne 45th st,14,2,11/4/2018 15:10,,,,,,,,
7,5,pend oreille rd,1,4,11/4/2018 15:14,,,,,,,,
7,6,benton ln,1,0,11/4/2018 15:15,,,,,,,,
7,7,rainier ris,0,4,11/4/2018 15:15,,,,,,,,
7,8,stevens way,1,0,11/4/2018 15:18,,,,,,,,
7,9,ne campus pkwy,3,2,11/4/2018 15:22,,,,,,,,
7,10,ne 42nd st,5,4,11/4/2018 15:24,,,,,,,,
7,11,ne 45th st,7,1,11/4/2018 15:26,,,,,,,,
7,12,ne 47th st,5,2,11/4/2018 15:27,,,,,,,,
7,13,ne 50th st,1,0,11/4/2018 15:28,,,,,,,,
7,14,ne 52nd st,0,1,11/4/2018 15:29,,,,,,,,
7,15,ne 55th st,,,,,,,,,,,
7,16,ne ravena,1,0,11/4/2018 15:30,,,,,,,,
7,17,ne 61st st,0,1,11/4/2018 15:31,,,,,,,,
7,18,ne 65th st,2,6,11/4/2018 15:33,,,,,,,,
7,19,ne 70th st,0,2,11/4/2018 15:34,,,,,,,,
7,20,12th ave ne,,,,,,,,,,,
7,21,ne 80th st,,,,,,,,,,,
7,22,ne 85th st,3,0,11/4/2018 15:37,,,,,,,,
7,23,ne 90th st,0,2,11/4/2018 15:38,,,,,,,,
7,24,ne 92nd st,1,0,11/4/2018 15:38,,,,,,,,
7,25,ne 95th st,,,,,,,,,,,
7,26,ne 100th st,0,2,11/4/2018 15:40,,,,,,,,
7,27,ne 105th st,,,,,,,,,,,
7,28,ne 108th st,,,,,,,,,,,
7,29,roosevelt way ne,2,3,11/4/2018 15:42,,,,,,,,
7,30,ne northgate ne,1,12,11/4/2018 15:44,,,,,,,,
7,31,northgate mall,0,1,11/4/2018 15:45,,,,,,,,
7,32,5th ave ne,0,2,11/4/2018 15:46,,,,,,,,
7,33,northgate tc,0,10,11/4/2018 15:47,,,,,,,,
8,1,start,2,0,11/4/2018 16:55,,,,,,,,
8,2,,,,,,,,,,,,
8,3,3rd ave w,1,0,11/4/2018 16:57,,,,,,,,
8,4,w prospect st,2,0,11/4/2018 16:58,,,,,,,,
8,5,w galcr st,2,0,11/4/2018 16:59,,,,,,,,
8,6,w newton st,1,0,11/4/2018 17:00,,,,,,,,
8,7,w wheeler st,,,,,,,,,,,
8,8,w armour st,,,,,,,,,,,
8,9,w pravus st,,,,,,,,,,,
8,10,12th ave w,,,,,,,,,,,
8,11,jesse ave e,0,2,11/4/2018 17:05,,,,,,,,
8,12,8th ave w,,,,,,,,,,,
8,13,6th ave w,,,,,,,,,,,
8,14,3rd ave w ,4,0,11/4/2018 17:07,,,,,,,,
8,15,queen anne ave n,,,,,,,,,,,
8,16,warren ave n ,,,,,,,,,,,
8,17,florentia st,0,1,11/4/2018 17:08,,,,,,,,
8,18,n 34th st,9,2,11/4/2018 17:11,,,,,,,,
8,19,troll ave n,1,0,11/4/2018 17:13,,,,,,,,
8,20,woodland pk ave n,,,,,,,,,,,
8,21,carr pl n,,,,,,,,,,,
8,22,n 35th st,3,1,11/4/2018 17:16,,,,,,,,
8,23,n 37th st,,,,,,,,,,,
8,24,wallingford ave n,,,,,,,,,,,
8,25,bagley ave n,,,,,,,,,,,
8,26,sunnside ave n,,,,,,,,,,,
8,27,1st ave ne ,,,,,,,,,,,
8,28,7th ave ne ,0,1,11/4/2018 17:21,,,,,,,,
9,1,Sand Point Way Ne & 40th Ave Ne,9,0,11/8/2018 14:47,,,,,,,,
9,2,Ne 45th St & 36th Ave Ne,1,0,11/8/2018 14:48,,,,,,,,
9,3,Ne 45th St & Union Bay Pl Ne,2,0,11/8/2018 14:52,,,,,,,,
9,4,Montlake Blvd Ne & Ne 45th St,10,1,11/8/2018 14:52,,,,,,,,
9,5,Stevens Way & Pend Oreille Rd,6,4,11/8/2018 14:56,,,,,,,,
9,6,Stevens Way & Benton Ln,2,1,11/8/2018 14:57,,,,,,,,
9,7,Stevens Way & Rainier Vis,5,6,11/8/2018 14:58,,,,,,,,
9,8,Stevens Way & Garfield Ln,5,1,11/8/2018 15:00,,,,,,,,
9,9,Grant Ln & Stevens Way,4,3,11/8/2018 15:01,,,,,,,,
9,10,Brooklyn Ave Ne & Ne Campus Pkwy,6,5,11/8/2018 15:05,,,,,,,,
9,11,11th Ave Ne & Ne 42nd St,3,2,11/8/2018 15:07,,,,,,,,
9,12,11th Ave Ne & Ne 45th St,7,1,11/8/2018 15:09,,,,,,,,
9,13,11th Ave Ne & Ne 47th St,3,0,11/8/2018 15:10,,,,,,,,
9,14,11th Ave Ne & Ne 50th St,4,4,11/8/2018 15:11,,,,,,,,
9,15,11th Ave Ne & Ne 52nd St,0,4,11/8/2018 15:12,,,,,,,,
9,16,11th Ave Ne & Ne 55th St,0,3,11/8/2018 15:13,,,,,,,,
9,17,11th Ave Ne & Ne Ravenna Blvd,2,1,11/8/2018 15:14,,,,,,,,
9,18,12th Ave Ne & Ne 61st St,0,2,11/8/2018 15:15,,,,,,,,
9,19,12th Ave Ne & Ne 65th St,0,5,11/8/2018 15:18,,,,,,,,
9,20,12th Ave Ne & Ne 70th St,1,0,11/8/2018 15:19,,,,,,,,
9,21,Ne 75th St & 12th Ave Ne,2,3,11/8/2018 15:21,,,,,,,,
9,22,Roosevelt Way Ne & Ne 75th St,,,,,,,,,,,
9,23,Roosevelt Way Ne & Ne 80th St,,,,,,,,,,,
9,24,Roosevelt Way Ne & Ne 85th St,0,1,11/8/2018 15:23,,,,,,,,
9,25,Roosevelt Way Ne & Ne 90th St,,,,,,,,,,,
9,26,Roosevelt Way Ne & Ne 92nd St,,,,,,,,,,,
9,27,Roosevelt Way Ne & Ne 95th St,0,1,11/8/2018 15:25,,,,,,,,
9,28,Roosevelt Way Ne & Ne 100th St,,,,,,,,,,,
9,29,Roosevelt Way Ne & Ne 103rd St,,,,,,,,,,,
9,30,Roosevelt Way Ne & Ne 105th St,0,1,11/8/2018 15:26,,,,,,,,
9,31,Roosevelt Way Ne & Ne 108th St,0,2,11/8/2018 15:27,,,,,,,,
9,32,Ne Northgate Way & Roosevelt Way Ne,0,1,11/8/2018 15:27,,,,,,,,
9,33,5th Ave Ne & Ne Northgate Way,0,7,11/8/2018 15:29,,,,,,,,
9,34,5th Ave Ne & Northgate Mall,0,2,11/8/2018 15:30,,,,,,,,
9,35,Ne 103rd St & 5th Ave Ne,0,2,11/8/2018 15:32,,,,,,,,
9,36,Northgate Tc,0,9,11/8/2018 15:33,,,,,,,,
10,1,Northgate Tc - Bay 1,2,0,11/8/2018 15:38,,,,,,,,
10,2,5th Ave Ne & Ne 103rd St,,,11/8/2018 15:39,,,,,,,,
10,3,5th Ave Ne & Ne 106th St,,,11/8/2018 15:40,,,,,,,,
10,4,Ne Northgate Way & 5th Ave Ne,2,0,11/8/2018 15:42,,,,,,,,
10,5,Roosevelt Way Ne & Ne 108th St,,,11/8/2018 15:44,,,,,,,,
10,6,Roosevelt Way Ne & Ne 105th St,,,11/8/2018 15:44,,,,,,,,
10,7,Roosevelt Way Ne & Ne 102nd St,,,11/8/2018 15:44,,,,,,,,
10,8,Roosevelt Way Ne & Ne 95th St,,,11/8/2018 15:45,,,,,,,,
10,9,Roosevelt Way Ne & Ne 92nd St,,,11/8/2018 15:46,,,,,,,,
10,10,Roosevelt Way Ne & Ne 90th St,,,11/8/2018 15:46,,,,,,,,
10,11,Roosevelt Way Ne & Ne 85th St,,,11/8/2018 15:48,,,,,,,,
10,12,Roosevelt Way Ne & Ne 80th St,,,11/8/2018 15:49,,,,,,,,
10,13,Roosevelt Way Ne & Ne 75th St,,,11/8/2018 15:51,,,,,,,,
10,14,Roosevelt Way Ne & Ne 69th St,,,11/8/2018 15:53,,,,,,,,
10,15,Roosevelt Way Ne & Ne 65th St,3,0,11/8/2018 15:55,,,,,,,,
10,16,Roosevelt Way Ne & Ne Ravenna Blvd,,,11/8/2018 15:57,,,,,,,,
10,17,Roosevelt Way Ne & Ne 55th St,,,11/8/2018 15:58,,,,,,,,
10,18,Roosevelt Way Ne & Ne 50th St,6,0,11/8/2018 16:00,,,,,,,,
10,19,Roosevelt Way Ne & Ne 45th St,0,2,11/8/2018 16:04,,,,,,,,
11,1,Sand Point Way Ne & 40th Ave Ne,1,,11/8/2018 19:05,,,,,,,,
11,2,Ne 45th St & 36th Ave Ne,1,,11/8/2018 19:05,,,,,,,,
11,3,Ne 45th St & Union Bay Pl Ne,1,,11/8/2018 19:08,,,,,,,,
11,4,Montlake Blvd Ne & Ne 45th St,2,,11/8/2018 19:09,,,,,,,,
11,5,Stevens Way & Pend Oreille Rd,2,,11/8/2018 19:13,,,,,,,,
11,6,Stevens Way & Benton Ln,,1,11/8/2018 19:14,,,,,,,,
11,7,Stevens Way & Rainier Vis,,,,,,,,,,,
11,8,Stevens Way & Garfield Ln,,1,11/8/2018 19:16,,,,,,,,
11,9,Grant Ln & Stevens Way,,,11/8/2018 19:18,,,,,,,,
11,10,Ne Campus Pkwy & 12th Ave Ne,2,2,11/8/2018 19:21,,,,,,,,
11,11,Ne 40th St & 7th Ave Ne,,1,11/8/2018 19:23,,,,,,,,
11,12,Ne 40th St & Latona Ave Ne,,,,,,,,,,,
11,13,N 40th St & Eastern Ave N,,,,,,,,,,,
11,14,N 40th St & Corliss Ave N,,,,,,,,,,,
11,15,N 40th St & Meridian Ave N,,,,,,,,,,,
11,16,N 40th St & Wallingford Ave N,,,,,,,,,,,
11,17,Wallingford Ave N & N 39th St,,,,,,,,,,,
11,18,Wallingford Ave N & N 37th St,,,,,,,,,,,
11,19,N 35th St & Wallingford Ave N,,,,,,,,,,,
11,20,N 35th St & Woodlawn Ave N,1,,11/8/2018 19:30,,,,,,,,
11,21,N 35th St & Stone Way N,,,,,,,,,,,
11,22,N 35th St & Troll Ave N,,,,,,,,,,,
11,23,Fremont Ave N & N 34th St,,,11/8/2018 19:35,,,,,,,,
11,24,Nickerson St & 3rd Ave N,,,11/8/2018 19:36,,,,,,,,
11,25,Nickerson St & Warren Ave N,,,,,,,,,,,
11,26,Nickerson St & Cremona St,,,,,,,,,,,
11,27,W Nickerson St & 3rd Ave W,,,,,,,,,,,
11,28,W Nickerson St & 6th Ave W,,,,,,,,,,,
11,29,W Nickerson St & 8th Ave W,,,,,,,,,,,
11,30,W Nickerson St & Jesse Ave W,,,,,,,,,,,
11,31,W Nickerson St & 11th Ave W,,,,,,,,,,,
11,32,15th Ave W & W Dravus St,,,,,,,,,,,
11,33,15th Ave W & W Armour St,,1,11/8/2018 19:47,,,,,,,,
11,34,15th Ave W & W Wheeler St,,,,,,,,,,,
11,35,15th Ave W & W Armory Way,,,,,,,,,,,
11,36,Elliott Ave W & W Galer St,,,,,,,,,,,
11,37,Elliott Ave W & W Prospect St,,,,,,,,,,,
11,38,W Mercer St & 3rd Ave W,,2,11/8/2018 19:51,,,,,,,,
11,39,Queen Anne Ave N & W Mercer St,,,,,,,,,,,
11,40,Queen Anne Ave N & W Harrison St,,,11/8/2018 19:53,,,,,,,,
12,1,1st Ave N & Republican St,2,,11/9/2018 19:38,,,,,,,,
