date,passenger,stop_id,time,trip_id,count,mac
3/1/18,19,29,11:34,4,13,"[""48:db:50:35:d4:e7"",""b8:27:eb:64:2c:fc"",""a4:08:ea:2c:ec:47"",""88:79:7e:55:a0:60"",""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""d2:48:20:ea:34:dc"",""f4:09:d8:f4:07:a2""]"
3/1/18,21,32,11:36,4,12,"[""48:db:50:35:d4:e7"",""b8:27:eb:64:2c:fc"",""88:79:7e:55:a0:60"",""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""d2:48:20:ea:34:dc"",""f4:09:d8:f4:07:a2""]"
3/1/18,20,33,11:37,4,11,"[""48:db:50:35:d4:e7"",""b8:27:eb:64:2c:fc"",""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""d2:48:20:ea:34:dc"",""f4:09:d8:f4:07:a2""]"
3/1/18,22,35,11:39,4,11,"[""48:db:50:35:d4:e7"",""b8:27:eb:64:2c:fc"",""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""d2:48:20:ea:34:dc"",""f4:09:d8:f4:07:a2""]"
3/1/18,24,37,11:41,4,11,"[""48:db:50:35:d4:e7"",""b8:27:eb:64:2c:fc"",""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""d2:48:20:ea:34:dc"",""f4:09:d8:f4:07:a2""]"
3/1/18,34,38,11:42,4,11,"[""48:db:50:35:d4:e7"",""b8:27:eb:64:2c:fc"",""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""d2:48:20:ea:34:dc"",""f4:09:d8:f4:07:a2""]"
3/1/18,38,39,11:43,4,9,"[""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""d2:48:20:ea:34:dc"",""f4:09:d8:f4:07:a2""]"
3/1/18,25,40,11:46,4,9,"[""00:18:16:10:16:63"",""a0:cc:2b:92:0e:1a"",""98:01:a7:b5:88:8d"",""14:1f:78:98:4e:b8"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""f4:09:d8:f4:07:a2"",""b8:27:eb:64:2c:fc""]"
3/1/18,19,41,11:47,4,8,"[""a0:cc:2b:92:0e:1a"",""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""f4:09:d8:f4:07:a2"",""b8:27:eb:64:2c:fc"",""48:db:50:35:d4:e7"",""00:18:16:10:16:63""]"
3/1/18,15,42,11:48,4,7,"[""aa:f8:1c:ee:c3:ff"",""a4:70:d6:6c:58:81"",""48:4b:aa:a3:b3:d2"",""f4:09:d8:f4:07:a2"",""b8:27:eb:64:2c:fc"",""48:db:50:35:d4:e7"",""00:18:16:10:16:63""]"
3/1/18,13,43,11:49,4,5,"[""48:4b:aa:a3:b3:d2"",""f4:09:d8:f4:07:a2"",""b8:27:eb:64:2c:fc"",""48:db:50:35:d4:e7"",""00:18:16:10:16:63""]"
3/1/18,9,44,11:51,4,4,"[""f4:09:d8:f4:07:a2"",""b8:27:eb:64:2c:fc"",""48:db:50:35:d4:e7"",""00:18:16:10:16:63""]"
