trip_id,stoporder,stopid,onboard,offboard,arrtime,passenger,Weekday,Route,LastStop,clusterPassenger,up,down
5,14,ne 52nd st,0,1,11/4/18 15:29:25,31,0,2,0,8,0,1
5,16,ne ravena,1,0,11/4/18 15:30:26,32,0,2,0,10,1,0
5,17,ne 61st st,0,1,11/4/18 15:31:00,31,0,2,0,8,1,1
5,18,ne 65th st,2,6,11/4/18 15:33:00,27,0,2,0,7,1,3
5,19,ne 70th st,0,2,11/4/18 15:34:00,25,0,2,0,7,1,1
5,22,ne 85th st,3,0,11/4/18 15:37:04,28,0,2,0,7,3,3
5,23,ne 90th st,0,2,11/4/18 15:38:15,26,0,2,0,8,1,1
5,24,ne 92nd st,1,0,11/4/18 15:38:55,27,0,2,0,6,1,1
5,26,ne 100th st,0,2,11/4/18 15:40:34,25,0,2,0,6,0,1
5,29,roosevelt way ne,2,3,11/4/18 15:42:52,24,0,2,0,5,1,1
5,30,ne northgate ne,1,12,11/4/18 15:44:33,13,0,2,0,2,1,2
5,31,northgate mall,0,1,11/4/18 15:45:24,12,0,2,0,1,3,7
5,32,5th ave ne,0,2,11/4/18 15:46:03,10,0,2,0,0,0,0
5,33,northgate tc,0,10,11/4/18 15:47:26,0,0,2,1
6,1,start,2,0,11/4/18 16:55:37,2,0,2,0,0,1,0
6,3,3rd ave w,1,0,11/4/18 16:57:21,3,0,2,0,1,1,1
6,4,w prospect st,2,0,11/4/18 16:58:59,5,0,2,0,1,0,0
6,5,w galcr st,2,0,11/4/18 16:59:54,7,0,2,0,1,1,1
6,6,w newton st,1,0,11/4/18 17:00:52,8,0,2,0,2,2,1
6,11,jesse ave e,0,2,11/4/18 17:05:26,6,0,2,0,2,0,0
6,14,3rd ave w ,4,0,11/4/18 17:07:24,10,0,2,0,2,0,0
6,17,florentia st,0,1,11/4/18 17:08:52,9,0,2,0,1,0,1
6,18,n 34th st,9,2,11/4/18 17:11:25,16,0,2,0,2,4,3
6,19,troll ave n,1,0,11/4/18 17:13:25,17,0,2,0,4,3,0
6,22,n 35th st,3,1,11/4/18 17:16:27,19,0,2,0,0,7,9
6,28,7th ave ne ,0,1,11/4/18 17:21:57,18,0,2,0
7,10,Brooklyn Ave Ne & Ne Campus Pkwy,6,5,11/8/18 15:05:19,29,1,2,0,0,5,1
7,11,11th Ave Ne & Ne 42nd St,3,2,11/8/18 15:07:38,30,1,2,0,6,1,0
7,12,11th Ave Ne & Ne 45th St,7,1,11/8/18 15:09:36,36,1,2,0,4,2,4
7,13,11th Ave Ne & Ne 47th St,3,0,11/8/18 15:10:24,39,1,2,0,6,3,2
7,14,11th Ave Ne & Ne 50th St,4,4,11/8/18 15:11:40,39,1,2,0,8,3,0
7,15,11th Ave Ne & Ne 52nd St,0,4,11/8/18 15:12:23,35,1,2,0,11,3,1
7,16,11th Ave Ne & Ne 55th St,0,3,11/8/18 15:13:11,32,1,2,0,12,2,0
7,17,11th Ave Ne & Ne Ravenna Blvd,2,1,11/8/18 15:14:17,33,1,2,0,12,0,4
7,18,12th Ave Ne & Ne 61st St,0,2,11/8/18 15:15:37,31,1,2,0,12,1,1
7,19,12th Ave Ne & Ne 65th St,0,5,11/8/18 15:18:03,26,1,2,0,10,2,4
7,20,12th Ave Ne & Ne 70th St,1,0,11/8/18 15:19:26,27,1,2,0,10,1,3
7,21,Ne 75th St & 12th Ave Ne,2,3,11/8/18 15:21:06,26,1,2,0,10,1,0
7,24,Roosevelt Way Ne & Ne 85th St,0,1,11/8/18 15:23:42,25,1,2,0,9,2,2
7,27,Roosevelt Way Ne & Ne 95th St,0,1,11/8/18 15:25:20,24,1,2,0,8,1,1
7,30,Roosevelt Way Ne & Ne 105th St,0,1,11/8/18 15:26:34,23,1,2,0,9,1,1
7,31,Roosevelt Way Ne & Ne 108th St,0,2,11/8/18 15:27:09,21,1,2,0,8,0,0
7,32,Ne Northgate Way & Roosevelt Way Ne,0,1,11/8/18 15:27:57,20,1,2,0,8,1,1
7,33,5th Ave Ne & Ne Northgate Way,0,7,11/8/18 15:29:52,13,1,2,0,8,3,3
7,34,5th Ave Ne & Northgate Mall,0,2,11/8/18 15:30:55,11,1,2,0,3,0,2
7,35,Ne 103rd St & 5th Ave Ne,0,2,11/8/18 15:32:13,9,1,2,0,0,0,1
7,36,Northgate Tc,0,9,11/8/18 15:33:50,0,1,2,1
8,1,Northgate Tc - Bay 1,2,0,11/8/18 15:38:10,2,1,2,0,2,3,3
8,2,5th Ave Ne & Ne 103rd St,0,0,11/8/18 15:39:47,2,1,2,0,4,0,1
8,3,5th Ave Ne & Ne 106th St,0,0,11/8/18 15:40:33,2,1,2,0,4,0,3
8,4,Ne Northgate Way & 5th Ave Ne,2,0,11/8/18 15:42:28,4,1,2,0,3,0,1
8,5,Roosevelt Way Ne & Ne 108th St,0,0,11/8/18 15:44:01,4,1,2,0,3,0,0
8,6,Roosevelt Way Ne & Ne 105th St,0,0,11/8/18 15:44:15,4,1,2,0,3,1,1
8,7,Roosevelt Way Ne & Ne 102nd St,0,0,11/8/18 15:44:48,4,1,2,0,3,0,1
8,8,Roosevelt Way Ne & Ne 95th St,0,0,11/8/18 15:45:20,4,1,2,0,3,1,1
8,9,Roosevelt Way Ne & Ne 92nd St,0,0,11/8/18 15:46:32,4,1,2,0,4,0,2
8,10,Roosevelt Way Ne & Ne 90th St,0,0,11/8/18 15:46:54,4,1,2,0,3,3,1
8,11,Roosevelt Way Ne & Ne 85th St,0,0,11/8/18 15:48:20,4,1,2,0,3,2,2
8,12,Roosevelt Way Ne & Ne 80th St,0,0,11/8/18 15:49:26,4,1,2,0,3,3,4
8,13,Roosevelt Way Ne & Ne 75th St,0,0,11/8/18 15:51:14,4,1,2,0,3,0,1
8,14,Roosevelt Way Ne & Ne 69th St,0,0,11/8/18 15:53:40,4,1,2,0,3,2,0
8,15,Roosevelt Way Ne & Ne 65th St,3,0,11/8/18 15:55:24,7,1,2,0,3,4,3
8,16,Roosevelt Way Ne & Ne Ravenna Blvd,0,0,11/8/18 15:57:06,7,1,2,0,4,4,1
8,17,Roosevelt Way Ne & Ne 55th St,0,0,11/8/18 15:58:22,7,1,2,0,3,1,1
8,18,Roosevelt Way Ne & Ne 50th St,6,0,11/8/18 16:00:00,13,1,2,0,0,2,4
8,19,Roosevelt Way Ne & Ne 45th St,0,2,11/8/18 16:04:44,11,1,2,0
9,1,Sand Point Way Ne & 40th Ave Ne,0,0,11/9/18 18:40:49,9,1,3,0,1,0,0
9,4,Montlake Blvd Ne & Ne 45th St,1,0,11/9/18 18:42:49,10,1,3,0,1,7,4
9,5,Stevens Way & Pend Oreille Rd,4,2,11/9/18 18:47:24,12,1,3,0,5,13,2
9,6,Stevens Way & Benton Ln,4,0,11/9/18 18:48:30,16,1,3,0,6,0,0
9,7,Stevens Way & Rainier Vis,2,1,11/9/18 18:49:37,17,1,3,0,10,0,0
9,8,Stevens Way & Garfield Ln,5,0,11/9/18 18:50:30,22,1,3,0,10,0,0
9,10,Ne Campus Pkwy & 12th Ave Ne,7,1,11/9/18 18:55:03,28,1,3,0,15,5,4
9,11,Ne 40th St & 7th Ave Ne,0,1,11/9/18 18:56:36,27,1,3,0,14,2,3
9,16,N 40th St & Wallingford Ave N,0,2,11/9/18 18:59:15,25,1,3,0,14,0,0
9,18,Wallingford Ave N & N 37th St,0,1,11/9/18 19:00:29,24,1,3,0,15,0,4
9,19,N 35th St & Wallingford Ave N,2,1,11/9/18 19:01:28,25,1,3,0,14,2,0
9,20,N 35th St & Woodlawn Ave N,1,1,11/9/18 19:02:26,25,1,3,0,12,2,1
9,21,N 35th St & Stone Way N,1,2,11/9/18 19:04:27,24,1,3,0,9,1,5
9,22,N 35th St & Troll Ave N,0,5,11/9/18 19:05:21,19,1,3,0,7,0,0
9,23,Fremont Ave N & N 34th St,6,8,11/9/18 19:07:06,17,1,3,0,5,6,3
9,27,W Nickerson St & 3rd Ave W,0,4,11/9/18 19:11:12,13,1,3,0,6,1,5
9,30,W Nickerson St & Jesse Ave W,0,1,11/9/18 19:12:23,12,1,3,0,4,3,0
9,32,15th Ave W & W Dravus St,0,2,11/9/18 19:16:02,10,1,3,0,5,0,0
9,33,15th Ave W & W Armour St,0,2,11/9/18 19:16:47,8,1,3,0,5,1,0
9,35,15th Ave W & W Armory Way,1,0,11/9/18 19:18:15,9,1,3,0,3,1,1
9,36,Elliott Ave W & W Galer St,0,1,11/9/18 19:20:16,8,1,3,0,2,1,4
9,38,W Mercer St & 3rd Ave W,0,1,11/9/18 19:23:37,7,1,3,0,1,1,2
9,39,Queen Anne Ave N & W Mercer St,0,6,11/9/18 19:25:12,1,1,3,0,0,0,1
9,40,Queen Anne Ave N & W Harrison St,0,1,11/9/18 19:26:26,0,1,3,1
10,1,1st Ave N & Republican St,2,0,11/9/18 19:38:58,2,1,3,0,2,5,1
10,2,Mercer St & Queen Anne Ave N,2,0,11/9/18 19:40:58,4,1,3,0,2,0,0
10,3,W Mercer St & 3rd Ave W,1,0,11/9/18 19:42:12,5,1,3,0,3,1,2
10,4,Elliott Ave W & W Prospect St ,0,0,11/9/18 19:44:14,5,1,3,0,3,0,0
10,6,15th Ave W & W Newton St,1,1,11/9/18 19:45:50,5,1,3,0,3,1,1
10,10,W Nickerson St & 12th Ave W,1,2,11/9/18 19:51:32,4,1,3,0,2,2,3
10,14,W Nickerson St & 3rd Ave W,2,1,11/9/18 19:53:08,5,1,3,0,2,1,5
10,15,W Nickerson St & Queen Anne Ave N,1,0,11/9/18 19:53:46,6,1,3,0,2,0,4
10,21,N 35th St & Carr Pl N,0,1,11/9/18 19:59:34,9,1,3,0,5,0,3
10,22,Wallingford Ave N & N 35th St,2,0,11/9/18 20:00:27,11,1,3,0,5,1,3
10,24,N 40th St & Wallingford Ave N,0,1,11/9/18 20:01:51,10,1,3,0,4,0,0
10,25,N 40th St & Bagley Ave N,1,0,11/9/18 20:02:35,11,1,3,0,4,2,2
10,27,Ne 40th St & 1st Ave Ne,0,2,11/9/18 20:03:26,9,1,3,0,1,4,3
10,28,Ne Northlake Way & 7th Ave Ne,3,2,11/9/18 20:05:01,10,1,3,0,0,0,1
10,29,Ne Pacific St & Ne Boat St,0,0,11/9/18 20:05:48,10,1,3,1
