ts;sensorid;series;mac;devicetype;label;intensity
2018-03-06 07:41:11.869393;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:41:12.209631;bus_m1;43;00:1e:8f:3b:7b:10;wifi;mobile;-85
2018-03-06 07:41:13.510937;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:41:13.511675;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:41:13.534751;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:41:13.53545;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:41:15.732369;bus_m1;43;8c:85:90:1f:32:a9;wifi;mobile;-89
2018-03-06 07:41:15.737382;bus_m1;43;8c:85:90:1f:32:a9;wifi;mobile;-89
2018-03-06 07:41:24.261946;bus_m1;43;b2:75:94:e3:65:f0;wifi;mobile;-77
2018-03-06 07:41:25.18964;bus_m1;43;18:65:90:d6:29:6b;wifi;mobile;-71
2018-03-06 07:41:27.989252;bus_m1;43;bc:9f:ef:e1:33:15;wifi;mobile;-51
2018-03-06 07:41:27.999922;bus_m1;43;bc:9f:ef:e1:33:15;wifi;mobile;-51
2018-03-06 07:41:28.26905;bus_m1;43;e4:a4:71:86:bd:e3;wifi;mobile;-41
2018-03-06 07:41:29.581373;bus_m1;43;1a:09:79:2a:f4:42;wifi;mobile;-73
2018-03-06 07:41:34.372126;bus_m1;43;e4:a4:71:86:bd:e3;wifi;mobile;-37
2018-03-06 07:41:35.547706;bus_m1;43;e4:a4:71:86:bd:e3;wifi;mobile;-41
2018-03-06 07:41:36.246483;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:41:36.247249;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-45
2018-03-06 07:41:36.345467;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-25
2018-03-06 07:41:36.365856;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:41:36.894343;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-47
2018-03-06 07:41:36.91749;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-51
2018-03-06 07:41:37.116751;bus_m1;43;d4:a3:3d:bc:33:ec;wifi;mobile;-61
2018-03-06 07:41:37.413689;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-55
2018-03-06 07:41:37.427525;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:41:37.428192;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:41:37.736056;bus_m1;43;90:60:f1:ac:4f:6d;wifi;mobile;-69
2018-03-06 07:41:37.746011;bus_m1;43;90:60:f1:ac:4f:6d;wifi;mobile;-69
2018-03-06 07:41:37.968302;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:41:37.968976;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:41:38.538858;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:41:41.143947;bus_m1;43;2e:8d:76:dc:d3:7f;wifi;mobile;-53
2018-03-06 07:41:43.201073;bus_m1;43;90:60:f1:ac:4f:6d;wifi;mobile;-67
2018-03-06 07:41:46.125248;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-63
2018-03-06 07:41:46.125915;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-63
2018-03-06 07:41:46.136468;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-55
2018-03-06 07:41:46.145515;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-59
2018-03-06 07:41:46.146176;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:41:46.149075;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:41:46.151148;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-59
2018-03-06 07:41:46.152555;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-59
2018-03-06 07:41:46.154029;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-59
2018-03-06 07:41:46.155473;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:41:46.156168;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:41:46.201097;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-39
2018-03-06 07:41:50.766555;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:41:50.789033;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-61
2018-03-06 07:41:52.661601;bus_m1;43;be:17:55:c4:5c:87;wifi;mobile;-73
2018-03-06 07:41:52.742928;bus_m1;43;be:17:55:c4:5c:87;wifi;mobile;-61
2018-03-06 07:41:52.744053;bus_m1;43;be:17:55:c4:5c:87;wifi;mobile;-61
2018-03-06 07:41:53.414956;bus_m1;43;bc:9f:ef:e1:33:15;wifi;mobile;-43
2018-03-06 07:41:53.767958;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:41:53.791383;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:41:53.792026;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:41:54.069577;bus_m1;43;7e:06:a6:6d:fe:bd;wifi;mobile;-63
2018-03-06 07:41:58.789764;bus_m1;43;da:a1:19:ff:e8:9c;wifi;mobile;-59
2018-03-06 07:41:58.86434;bus_m1;43;da:a1:19:2d:84:38;wifi;mobile;-55
2018-03-06 07:42:00.18419;bus_m1;43;5c:af:06:61:89:9b;wifi;mobile;-41
2018-03-06 07:42:01.429719;bus_m1;43;a8:b8:6e:7c:d1:66;wifi;mobile;-63
2018-03-06 07:42:04.075073;bus_m1;43;5c:af:06:61:89:9b;wifi;mobile;-41
2018-03-06 07:42:04.299553;bus_m1;43;a8:b8:6e:61:20:a8;wifi;mobile;-67
2018-03-06 07:42:04.431695;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-43
2018-03-06 07:42:05.287101;bus_m1;43;a8:b8:6e:fc:35:7e;wifi;mobile;-71
2018-03-06 07:42:06.976745;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:42:06.979165;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
