col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
0,7,8,2,0,3,2,2,3,2,3
0,0,7,0,0,0,0,2,0,2,2
0,0,0,3,0,0,0,0,3,0,0
0,0,0,0,5,8,0,3,0,8,0
0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,15,5,0,0,3
0,0,0,0,0,0,0,13,0,8,3
0,0,0,0,0,0,0,0,8,3,3
0,0,0,0,0,0,0,0,0,10,2
0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,0,0,0,0,0,0
